gene_id,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description
b1094,acpP,NC_000913.3,1151615,1151851,+,237,protein_coding,acyl carrier protein&&sp|P0A6B3|ACP1_SHIFL Acyl carrier protein OS=Shigella flexneri OX=623 GN=acpP PE=3 SV=2 && PF00550:Phosphopantetheine attachment site
b1237,hns,NC_000913.3,1292509,1292922,-,414,protein_coding,DNA-binding transcriptional dual regulator H-NS&&sp|P0ACG0|HNS_ECO57 DNA-binding protein H-NS OS=Escherichia coli O157:H7 OX=83334 GN=hns PE=3 SV=2 && PF00816:H-NS histone family
b3544,dppA,NC_000913.3,3706098,3707705,-,1608,protein_coding,"dipeptide ABC transporter periplasmic binding protein&&sp|P23847|DPPA_ECOLI Dipeptide-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=dppA PE=1 SV=1 && PF00496:Bacterial extracellular solute-binding proteins, family 5 Middle"
b1717,rpmI,NC_000913.3,1799802,1799999,-,198,protein_coding,50S ribosomal subunit protein L35&&sp|A7MNZ2|RL35_CROS8 50S ribosomal protein L35 OS=Cronobacter sakazakii (strain ATCC BAA-894) OX=290339 GN=rpmI PE=3 SV=1 && PF01632:Ribosomal protein L35
b0721,sdhC,NC_000913.3,755177,755566,+,390,protein_coding,succinate:quinone oxidoreductase%2C membrane protein SdhC&&sp|P69055|DHSC_ECO57 Succinate dehydrogenase cytochrome b556 subunit OS=Escherichia coli O157:H7 OX=83334 GN=sdhC PE=3 SV=1 && PF01127:Succinate dehydrogenase/Fumarate reductase transmembrane subunit
b0733,cydA,NC_000913.3,771458,773026,+,1569,protein_coding,cytochrome bd-I subunit 1&&sp|P0ABK0|CYDA_ECOL6 Cytochrome bd-I ubiquinol oxidase subunit 1 OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=cydA PE=3 SV=1 && PF01654:Cytochrome bd terminal oxidase subunit I
b1333,uspE,NC_000913.3,1397672,1398622,-,951,protein_coding,universal stress protein E&&sp|P0AAC2|USPE_ECO57 Universal stress protein E OS=Escherichia coli O157:H7 OX=83334 GN=uspE PE=3 SV=2 && PF00582:Universal stress protein family
b3307,rpsN,NC_000913.3,3446579,3446884,-,306,protein_coding,30S ribosomal subunit protein S14&&sp|A7ZSJ6|RS14_ECO24 30S ribosomal protein S14 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rpsN PE=3 SV=1 && PF00253:Ribosomal protein S14p/S29e
b1800,dmlA,NC_000913.3,1881912,1882997,+,1086,protein_coding,D-malate/3-isopropylmalate dehydrogenase (decarboxylating)&&sp|P76251|DMLA_ECOLI D-malate dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) OX=83333 GN=dmlA PE=1 SV=1 && PF00180:Isocitrate/isopropylmalate dehydrogenase
b3309,rplX,NC_000913.3,3447453,3447767,-,315,protein_coding,50S ribosomal subunit protein L24&&sp|A7MPH5|RL24_CROS8 50S ribosomal protein L24 OS=Cronobacter sakazakii (strain ATCC BAA-894) OX=290339 GN=rplX PE=3 SV=1 && PF17136:Ribosomal proteins 50S L24/mitochondrial 39S L24
b2091,gatD,NC_000913.3,2171833,2172873,-,1041,protein_coding,galactitol-1-phosphate 5-dehydrogenase&&sp|P0A9S4|GATD_ECO57 Galactitol 1-phosphate 5-dehydrogenase OS=Escherichia coli O157:H7 OX=83334 GN=gatD PE=3 SV=1 && PF08240:Alcohol dehydrogenase GroES-like domain|PF00107:Zinc-binding dehydrogenase
b3403,pck,NC_000913.3,3532818,3534440,+,1623,protein_coding,phosphoenolpyruvate carboxykinase (ATP)&&sp|B7UKA7|PCKA_ECO27 Phosphoenolpyruvate carboxykinase (ATP) OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=pckA PE=3 SV=1 && PF01293:Phosphoenolpyruvate carboxykinase
b0008,talB,NC_000913.3,8238,9191,+,954,protein_coding,transaldolase B&&sp|Q3Z606|TAL1_SHISS Transaldolase 1 OS=Shigella sonnei (strain Ss046) OX=300269 GN=tal1 PE=3 SV=1 && PF00923:Transaldolase/Fructose-6-phosphate aldolase
b0727,sucB,NC_000913.3,761522,762739,+,1218,protein_coding,dihydrolipoyltranssuccinylase&&sp|P0AFG7|ODO2_ECO57 Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli O157:H7 OX=83334 GN=sucB PE=1 SV=2 && PF00364:Biotin-requiring enzyme|PF02817:e3 binding domain|PF00198:2-oxoacid dehydrogenases acyltransferase (catalytic domain)
b3985,rplJ,NC_000913.3,4179996,4180493,+,498,protein_coding,50S ribosomal subunit protein L10&&sp|A7ZUJ8|RL10_ECO24 50S ribosomal protein L10 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rplJ PE=3 SV=1 && PF00466:Ribosomal protein L10
b4143,groL,NC_000913.3,4371025,4372671,+,1647,protein_coding,chaperonin GroEL&&sp|A1AJ51|CH601_ECOK1 60 kDa chaperonin 1 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=groL1 PE=3 SV=1 && PF00118:TCP-1/cpn60 chaperonin family
b1716,rplT,NC_000913.3,1799393,1799749,-,357,protein_coding,50S ribosomal subunit protein L20&&sp|A8AHA8|RL20_CITK8 50S ribosomal protein L20 OS=Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696) OX=290338 GN=rplT PE=3 SV=1 && PF00453:Ribosomal protein L20
b0812,dps,NC_000913.3,848408,848911,-,504,protein_coding,DNA protection during starvation protein&&sp|A7ZJM7|DPS_ECO24 DNA protection during starvation protein OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=dps PE=3 SV=1 && PF00210:Ferritin-like domain
b0605,ahpC,NC_000913.3,638945,639508,+,564,protein_coding,alkyl hydroperoxide reductase%2C AhpC component&&sp|P0AE10|AHPC_ECO57 Alkyl hydroperoxide reductase C OS=Escherichia coli O157:H7 OX=83334 GN=ahpC PE=3 SV=2 && PF10417:C-terminal domain of 1-Cys peroxiredoxin|PF00578:AhpC/TSA family
b4014,aceB,NC_000913.3,4215478,4217079,+,1602,protein_coding,malate synthase A&&sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) OX=83333 GN=aceB PE=1 SV=1 && PF01274:Malate synthase
b0723,sdhA,NC_000913.3,755907,757673,+,1767,protein_coding,succinate:quinone oxidoreductase%2C FAD binding protein&&sp|P0AC43|SDHA_ECO57 Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli O157:H7 OX=83334 GN=sdhA PE=3 SV=1 && PF00890:FAD binding domain|PF02910:Fumarate reductase flavoprotein C-term
b3299,rpmJ,NC_000913.3,3442618,3442734,-,117,protein_coding,50S ribosomal subunit protein L36&&sp|A7MPF5|RL361_CROS8 50S ribosomal protein L36 1 OS=Cronobacter sakazakii (strain ATCC BAA-894) OX=290339 GN=rpmJ1 PE=3 SV=1 && PF00444:Ribosomal protein L36
b3308,rplE,NC_000913.3,3446899,3447438,-,540,protein_coding,50S ribosomal subunit protein L5&&sp|A7ZSJ7|RL5_ECO24 50S ribosomal protein L5 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rplE PE=3 SV=1 && PF00673:ribosomal L5P family C-terminus|PF00281:Ribosomal protein L5
b2150,mglB,NC_000913.3,2239350,2240348,-,999,protein_coding,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein&&sp|P0AEE6|DGAL_ECOL6 D-galactose-binding periplasmic protein OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=mglB PE=3 SV=1 && PF13407:Periplasmic binding protein domain
b1712,ihfA,NC_000913.3,1795253,1795552,-,300,protein_coding,integration host factor subunit alpha&&sp|A7ZMI0|IHFA_ECO24 Integration host factor subunit alpha OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=ihfA PE=3 SV=1 && PF00216:Bacterial DNA-binding protein
b1205,ychH,NC_000913.3,1258791,1259069,+,279,protein_coding,stress-induced protein&&sp|P0AB51|YCHH_ECO57 Uncharacterized protein YchH OS=Escherichia coli O157:H7 OX=83334 GN=ychH PE=4 SV=1 && PF10762:Protein of unknown function (DUF2583)
b0728,sucC,NC_000913.3,763014,764180,+,1167,protein_coding,succinyl-CoA synthetase subunit beta&&sp|A7ZJA8|SUCC_ECO24 Succinate--CoA ligase [ADP-forming] subunit beta OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=sucC PE=3 SV=1 && PF08442:ATP-grasp domain|PF00549:CoA-ligase
b3310,rplN,NC_000913.3,3447778,3448149,-,372,protein_coding,50S ribosomal subunit protein L14&&sp|A7ZSJ9|RL14_ECO24 50S ribosomal protein L14 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rplN PE=3 SV=1 && PF00238:Ribosomal protein L14p/L23e
b1324,tpx,NC_000913.3,1388305,1388811,-,507,protein_coding,lipid hydroperoxide peroxidase&&sp|P0A864|TPX_ECO57 Thiol peroxidase OS=Escherichia coli O157:H7 OX=83334 GN=tpx PE=3 SV=2 && PF08534:Redoxin
b3566,xylF,NC_000913.3,3731131,3732123,+,993,protein_coding,xylose ABC transporter periplasmic binding protein&&sp|P37387|XYLF_ECOLI D-xylose-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=xylF PE=1 SV=1 && PF13407:Periplasmic binding protein domain
b4154,frdA,NC_000913.3,4380510,4382318,-,1809,protein_coding,fumarate reductase flavoprotein subunit&&sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=frdA PE=1 SV=3 && PF02910:Fumarate reductase flavoprotein C-term|PF00890:FAD binding domain
b3342,rpsL,NC_000913.3,3474178,3474552,-,375,protein_coding,30S ribosomal subunit protein S12&&sp|A7ZSL7|RS12_ECO24 30S ribosomal protein S12 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rpsL PE=3 SV=1 && PF00164:Ribosomal protein S12/S23
b4138,dcuA,NC_000913.3,4365472,4366773,-,1302,protein_coding,C4-dicarboxylate transporter DcuA&&sp|P0ABN7|DCUA_ECO57 Anaerobic C4-dicarboxylate transporter DcuA OS=Escherichia coli O157:H7 OX=83334 GN=dcuA PE=3 SV=1 && PF03605:Anaerobic c4-dicarboxylate membrane transporter
b0734,cydB,NC_000913.3,773042,774181,+,1140,protein_coding,cytochrome bd-I subunit 2&&sp|P0ABK4|CYDB_ECO57 Cytochrome bd-I ubiquinol oxidase subunit 2 OS=Escherichia coli O157:H7 OX=83334 GN=cydB PE=3 SV=1 && PF02322:Cytochrome bd terminal oxidase subunit II
b1136,icd,NC_000913.3,1195123,1196373,+,1251,protein_coding,isocitrate dehydrogenase&&sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) OX=83333 GN=icd PE=1 SV=1 && PF00180:Isocitrate/isopropylmalate dehydrogenase
b1719,thrS,NC_000913.3,1800642,1802570,-,1929,protein_coding,"threonine--tRNA ligase&&sp|B7USA2|SYT_ECO27 Threonine--tRNA ligase OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=thrS PE=3 SV=1 && PF02824:TGS domain|PF03129:Anticodon binding domain|PF00587:tRNA synthetase class II core domain (G, H, P, S and T)|PF07973:Threonyl and Alanyl tRNA synthetase second additional domain"
b0729,sucD,NC_000913.3,764180,765049,+,870,protein_coding,succinyl-CoA synthetase subunit alpha&&sp|P0AGF1|SUCD_ECO57 Succinate--CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli O157:H7 OX=83334 GN=sucD PE=3 SV=2 && PF00549:CoA-ligase|PF02629:CoA binding domain
b2417,crr,NC_000913.3,2535834,2536343,+,510,protein_coding,"Enzyme IIA(Glc)&&sp|P69784|PTGA_ECOL6 PTS system glucose-specific EIIA component OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=crr PE=3 SV=2 && PF00358:phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1"
b0432,cyoA,NC_000913.3,450663,451610,-,948,protein_coding,cytochrome bo3 subunit 2&&sp|P0ABJ2|CYOA_ECOL6 Cytochrome bo(3) ubiquinol oxidase subunit 2 OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=cyoA PE=3 SV=1 && PF06481:COX Aromatic Rich Motif
b1060,bssS,NC_000913.3,1120701,1120955,-,255,protein_coding,regulator of biofilm formation&&sp|P0AB34|BSSS_ECOL6 Biofilm regulator BssS OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=bssS PE=3 SV=1 && PF13991:BssS protein family
b0903,pflB,NC_000913.3,951272,953554,-,2283,protein_coding,pyruvate formate-lyase&&sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2 && PF02901:Pyruvate formate lyase-like|PF01228:Glycine radical
b3117,tdcB,NC_000913.3,3265039,3266028,-,990,protein_coding,catabolic threonine dehydratase&&sp|P0AGF8|TDCB_ECO57 L-threonine dehydratase catabolic TdcB OS=Escherichia coli O157:H7 OX=83334 GN=tdcB PE=3 SV=1 && PF00291:Pyridoxal-phosphate dependent enzyme
b3357,crp,NC_000913.3,3486120,3486752,+,633,protein_coding,DNA-binding transcriptional dual regulator CRP&&sp|P0ACK0|CRP_ECO57 cAMP-activated global transcriptional regulator CRP OS=Escherichia coli O157:H7 OX=83334 GN=crp PE=3 SV=1 && PF00027:Cyclic nucleotide-binding domain|PF13545:Crp-like helix-turn-helix domain
b3637,rpmB,NC_000913.3,3811438,3811674,-,237,protein_coding,50S ribosomal subunit protein L28&&sp|A7ZTI8|RL28_ECO24 50S ribosomal protein L28 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rpmB PE=3 SV=1 && PF00830:Ribosomal L28 family
b3297,rpsK,NC_000913.3,3441709,3442098,-,390,protein_coding,30S ribosomal subunit protein S11&&sp|A7ZSI6|RS11_ECO24 30S ribosomal protein S11 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rpsK PE=3 SV=1 && PF00411:Ribosomal protein S11
b4153,frdB,NC_000913.3,4379783,4380517,-,735,protein_coding,fumarate reductase iron-sulfur protein&&sp|P0AC49|FRDB_ECO57 Fumarate reductase iron-sulfur subunit OS=Escherichia coli O157:H7 OX=83334 GN=frdB PE=3 SV=2 && PF13183:4Fe-4S dicluster domain|PF13085:2Fe-2S iron-sulfur cluster binding domain
b1089,rpmF,NC_000913.3,1147367,1147540,+,174,protein_coding,50S ribosomal subunit protein L32&&sp|B7UPA5|RL32_ECO27 50S ribosomal protein L32 OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=rpmF PE=3 SV=1 && PF01783:Ribosomal L32p protein family
b0116,lpd,NC_000913.3,127912,129336,+,1425,protein_coding,"lipoamide dehydrogenase&&sp|P0A9P2|DLDH_ECO57 Dihydrolipoyl dehydrogenase OS=Escherichia coli O157:H7 OX=83334 GN=lpdA PE=3 SV=2 && PF02852:Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain|PF07992:Pyridine nucleotide-disulphide oxidoreductase"
b3744,asnA,NC_000913.3,3927155,3928147,+,993,protein_coding,asparagine synthetase A&&sp|B7N247|ASNA_ECO81 Aspartate--ammonia ligase OS=Escherichia coli O81 (strain ED1a) OX=585397 GN=asnA PE=3 SV=1 && PF03590:Aspartate-ammonia ligase
